Name,Level,Rating,Duration,Distance,Height
Pętla Ustrzyki Dolne - Mały Król - Wielki Król - Kamienna Laworta (szlak czerwony),Intermediate,5.0,3.95,8.28,1200
Pętla Zwierzyniec - ścieżka dydaktyczna na Bukową Górę - Stawy Echo: Roztoczański Park Narodowy,Intermediate,0.0,2.47,5.64,400
Punkt widokowy Pichurów: Park Krajobrazowy Doliny Sanu,Easy,0.0,0.85,1.81,275
Pętla Przysłup - Duże Jasło - Okrąglik - Fereczata (przez szlak żółty i Główny Szlak Beskidzki): Ciśniańsko-Wetliński Park Krajobrazowy,Expert,5.0,5.23,10.2,2150
"Pętla Brzegi Górne - schronisko na Połoninie Wetlińskiej (""Chatka Puchatka""): Bieszczadzki Park Narodowy",Intermediate,0.0,2.33,3.6,1525
Pętla Wapienne - Ferdel (przez szlak zielony i czarny): Magurski Park Narodowy,Easy,5.0,1.95,3.81,775
"Ścieżka dydaktyczna ""Wokół Opalenia"" (pętla z Wólki Węglowej): Kampinoski Park Narodowy",Easy,0.0,1.1,2.64,75
Pętla Wólka - Rezerwat Kalisko - Kładka Zaborowska: Kampinoski Park Narodowy,Intermediate,0.0,3.13,7.62,125
"Ścieżka przyrodnicza ""Bobrówka"" (pętla z Gościńca): Park Krajobrazowy Pojezierze Łęczyńskie",Easy,5.0,0.82,1.99,50
Szlak Szumów (pętla ze stacji Susiec): Park Krajobrazowy Puszczy Solskiej,Intermediate,5.0,4.2,10.0,375
"Ścieżka przyrodniczo-historyczna ""Olchowiec"": Jaśliski Park Krajobrazowy",Intermediate,5.0,3.35,6.97,1100
Szlak Jelenia (pętla): Rezerwat Mójka,Easy,3.0,1.95,4.19,575
Pętla Otwock Świder - Ujście Świdra do Wisły,Intermediate,5.0,3.37,8.24,100
Pętla Cisna - Małe Jasło - Szczawnik - Duże Jasło (przez Główny Szlak Beskidzki): Ciśniańsko-Wetliński Park Krajobrazowy,Expert,5.0,5.38,10.7,2125
Chochołowska Valley – Dolina Chochołowska loop from Ornak,Intermediate,4.8,4.37,9.91,825
Pętla Kolonia Łomnica - Jezioro Moszne - Jamniki: Poleski Park Narodowy,Easy,5.0,1.35,3.3,50
"Ścieżka dydaktyczna ""Skrajem Puszczy"" (pętla z Granicy): Kampinoski Park Narodowy",Easy,5.0,0.83,2.01,50
Pętla Brzegi Górne - Połonina Caryńska - Przełęcz Wyżniańska - Mała Rawka: Bieszczadzki Park Narodowy,Expert,5.0,6.07,10.2,3425
"Ścieżka przyrodniczo-historyczna ""Tarnawa Niżna - Dźwiniacz Górny"" (pętla): Bieszczadzki Park Narodowy",Intermediate,3.0,2.5,5.82,350
Ścieżka przyrodnicza im. prof. Władysława Szafera z Rzeszowa,Intermediate,0.0,2.98,7.32,75
Pętla Leszno - Łubiec - Rezerwat Karpaty - Kanał Olszowiecki: Kampinoski Park Narodowy,Intermediate,5.0,3.07,7.34,250
Pętla Las Kabacki,Easy,0.0,1.95,4.72,125
Ścieżka Wokół Jeziorka Czerniakowskiego,Intermediate,0.0,1.17,2.85,25
Pętla Centrum Edukacji Leśnej - Goździkowe Bagno - Bagno Bocianowskie: Mazowiecki Park Krajobrazowy,Easy,5.0,1.18,2.85,75
Dołżyca - Łopiennik: Ciśniańsko-Wetliński Park Krajobrazowy,Intermediate,4.0,2.63,4.03,1675
Blick auf die Schneekoppe – Śnieżka - Schneekoppe loop from Wilcza Poręba,Intermediate,4.9,4.37,7.24,2400
Pętla Zalew Janowski - Janów Lubelski,Easy,5.0,0.88,2.12,50
"Ścieżka przyrodniczo-historyczna ""Hylaty"" (pętla z Zatwarnicy): Park Krajobrazowy Doliny Sanu",Intermediate,5.0,3.92,7.86,1550
Ścieżka przyrodnicza na Korbanię (pętla z Bukowca): Ciśniańsko-Wetliński Park Krajobrazowy,Intermediate,5.0,3.37,6.68,1400
Pętla Folusz - Ferdel - Rezerwat Kornuty - Magura Wątkowska (przez szlak czarny i zielony): Magurski Park Narodowy,Expert,5.0,5.72,12.1,1775
Pętla Nasiczne - Dwernik Kamień: Park Krajobrazowy Doliny Sanu,Intermediate,4.3,2.1,3.56,1200
Pętla Granica - Cisowe - Górki: Kampinoski Park Narodowy,Expert,5.0,5.37,13.0,275
Ścieżka dydaktyczna do Starego Dębu (z Dziekanowa Leśnego): Kampinoski Park Narodowy,Easy,5.0,1.87,4.54,100
"Ścieżka ""Falenica"" (pętla nad Morskie Oko): Mazowiecki Park Krajobrazowy",Easy,0.0,1.05,2.53,50
"Ścieżka przyrodniczo-historyczna ""Obóz Powstańczy"": Poleski Park Narodowy",Easy,5.0,0.98,2.4,50
Pętla Krempna - Kamień - Przełęcz Hałbowska: Magurski Park Narodowy,Intermediate,5.0,2.98,5.87,1250
Pszczeliny-Widełki - Bukowe Berdo (przez Główny Szlak Beskidzki): Bieszczadzki Park Narodowy,Expert,5.0,6.15,11.6,2750
Pętla Polanki - Łopienka - Korbania (przez szlak zielony): Ciśniańsko-Wetliński Park Krajobrazowy,Intermediate,5.0,4.23,8.43,1700
Komańcza - Chryszczata (przez Główny Szlak Beskidzki): Ciśniańsko-Wetliński Park Krajobrazowy,Expert,0.0,7.7,15.9,2675
Pętla Rezerwat Kamień nad Jaśliskami: Jaśliski Park Krajobrazowy,Intermediate,5.0,3.72,7.73,1250
Pętla Piaski Królewskie - Rezerwat Krzywa Góra: Kampinoski Park Narodowy,Intermediate,5.0,3.3,8.02,125
Pętla Ścieżka przyrodnicza na Chryszczatą - Ścieżka przyrodnicza nad Jeziorko Bobrowe: Ciśniańsko-Wetliński Park Krajobrazowy,Intermediate,0.0,4.33,8.69,1600
"Pętla Iwonicz-Zdrój - Żabia Góra - Źródełko ""Bełkotka"" (przez szlak zielony i niebieski)",Intermediate,5.0,1.87,3.9,600
Pętla Muzeum w Palmirach - Zaborów Leśny - Rezerwat Cyganka: Kampinoski Park Narodowy,Intermediate,5.0,3.67,8.9,175
Ścieżka edukacyjno-przyrodnicza Szum (pętla z Górecka Starego),Easy,5.0,0.97,2.34,50
Ścieżka przyrodnicza Rymanów Zdrój (pętla),Intermediate,5.0,2.48,5.13,875
Pętla Dukla - Pod Chyrową - Pustelnia Św. Jana z Dukli - Góra Cergowa,Expert,5.0,6.05,12.0,2425
Pętla Jabłonki - Łopiennik: Ciśniańsko-Wetliński Park Krajobrazowy,Expert,5.0,5.28,10.2,2225
Pętla Dwernik - Schronisko Koliba - Magura Stuposiańska: Park Krajobrazowy Doliny Sanu,Expert,5.0,5.03,10.2,1850
"Ścieżka spacerowa ""Zielona wzgórza nad Soliną"" (pętla z Polańczyka)",Intermediate,5.0,3.9,8.72,850
"Ścieżka dydaktyczna ""Dolinką Roztoki"" (pętla): Kampinoski Park Narodowy",Easy,0.0,0.45,1.06,50
"Ścieżka dydaktyczna ""Wokół Bieli"" (pętla): Kampinoski Park Narodowy",Easy,0.0,1.17,2.83,75
Pętla Zatwarnica - Krywe: Park Krajobrazowy Doliny Sanu,Expert,0.0,5.15,10.7,1775
Cisna - Hon - Wołosań: Ciśniańsko-Wetliński Park Krajobrazowy,Expert,5.0,5.07,10.0,1975
Kazimierz Dolny - Rezerwat Krowia Wyspa: Kazimierski Park Krajobrazowy,Intermediate,0.0,2.58,5.86,475
Pętla Zaborów - Rezerwat Debły: Kampinoski Park Narodowy,Intermediate,5.0,3.75,9.06,225
Bereżki - Schronisko studenckie Koliba - Połonina Caryńska (przez szlak żółty i zielony): Bieszczadzki Park Narodowy,Intermediate,5.0,3.98,7.19,2025
"Wokół Jeziora Myczkowskiego ""Niebieska Łezka"" (pętla z Soliny)",Intermediate,5.0,4.38,9.36,1275
Pętla Kazimierz Dolny - Zamek - Góra Trzech Krzyży: Kazimierski Park Krajobrazowy,Easy,0.0,0.78,1.73,200
Pętla Nasiczne - Dwernik Kamień - Wodospad Szepity: Park Krajobrazowy Doliny Sanu,Intermediate,0.0,4.98,9.08,2525
Pętla Kazimierz Dolny - Janowiec: Kazimierski Park Krajobrazowy,Intermediate,0.0,2.92,6.86,350
"Ścieżka spacerowa ""Perła Polańczyka"" (pętla z Polańczyka)",Intermediate,5.0,1.3,2.82,375
Dwernik - Chata Socjologa - Trohaniec (przez szlak niebieski i zielony): Park Krajobrazowy Doliny Sanu,Intermediate,5.0,2.95,5.42,1425
Pętla Łubiec - Rezerwat Karpaty - Zamczysko - Sosna Powstańców: Kampinoski Park Narodowy,Expert,5.0,5.08,12.4,250
"Ścieżka dydaktyczna ""Wielki Las"" (pętla)",Easy,0.0,0.72,1.56,175
Pętla Kąty - Grzywacka Góra: Beskid Niski,Easy,5.0,1.58,2.9,800
"Ścieżka ""Trzy Kultury"" (pętla z Lutowisk)",Intermediate,3.0,3.12,6.93,725
"Ścieżka edukacyjna ""Jezioro Obradowskie"": Rezerwat Jezioro Obradowskie",Easy,5.0,1.12,2.69,50
Niebieski szlak spacerowy Truskaw (pętla): Kampinoski Park Narodowy,Easy,0.0,0.7,1.69,50
Pętla Roztoka - Zaborów Leśny - Kalisko (przez Główny Szlak Puszczy Kampinoskiej i Południowy Szlak Leśny): Kampinoski Park Narodowy,Expert,0.0,5.77,14.1,225
Pętla Górecko Kościelne - Rezerwat Szum,Easy,5.0,0.77,1.82,75
Blick in die Schlucht – Schneegruben loop from Marysin,Expert,4.9,6.68,13.2,2775
Pętla Wola Wyżna - Źródliska Jasiołki (przez szlak niebieski i Via Slovakia): Jaśliski Park Krajobrazowy,Intermediate,5.0,4.25,9.45,925
Heuscheuer – Heuscheuer loop from Karłów,Easy,4.9,1.12,2.13,475
Pętla Kamieniołom - Zalew w Krasnobrodzie - Rezerwat Święty Roch: Krasnobrodzki Park Krajobrazowy,Intermediate,5.0,2.83,6.48,500
"Ścieżka przyrodniczo-dydaktyczna ""Polanki"" (pętla z Bykowców): Park Krajobrazowy Gór Słonnych",Easy,5.0,0.72,1.45,250
Pętla Sanok - Orli Kamień (przez szlak żółty i czerwony): Park Krajobrazowy Gór Słonnych,Intermediate,0.0,3.53,7.84,800
Pętla Wawer - Rezerwat im. Króla Jana Sobieskiego: Mazowiecki Park Krajobrazowy,Easy,0.0,1.48,3.63,25
"Ścieżka przyrodnicza ""Lasumiła"" (Jabłonki): Ciśniańsko-Wetliński Park Krajobrazowy",Easy,0.0,1.03,2.24,275
Żubracze - Wołosań: Ciśniańsko-Wetliński Park Krajobrazowy,Intermediate,0.0,3.33,6.39,1525
Pętla Krempna,Intermediate,0.0,2.72,6.1,550
"Ścieżka ""Dąb Dominik"": Poleski Park Narodowy",Easy,5.0,1.12,2.7,50
Pętla Marki - Puszcza Słupecka - Rezerwat Łęgi Czarnej Strugi,Intermediate,0.0,2.62,6.39,100
Pętla Stawy Echo - ścieżka na Piaseczną Górę: Roztoczańskie Park Narodowy,Intermediate,0.0,1.28,2.94,200
"Ścieżka przyrodnicza ""Kleniewo"" (pętla z Pomorza): Chodelski Obszar Chronionego Krajobrazu",Easy,5.0,0.8,1.93,50
"Ścieżka przyrodnicza ""W Przełomie Jasiołki"" (pętla ze Stasianej): Jaśliski Park Krajobrazowy",Easy,5.0,1.4,2.4,800
Wola Piotrowa - Tokarnia: Beskid Niski,Intermediate,0.0,2.28,4.67,875
"Czerwona ścieżka ""Wolność jest w naturze"" (pętla Głogów Małopolski - Rezerwat Bór)",Easy,5.0,1.93,4.7,100
Pętla Dąbrowa Leśna - Ścieżka spacerowa przez Łużową Górę (powrót przez Podwarszawski Szlak Pamięci): Kampinoski Park Narodowy,Easy,0.0,1.0,2.43,50
Pętla Narty - Zamczysko - Sosna Powstańców: Kampinoski Park Narodowy,Intermediate,0.0,2.22,5.38,125
Komańcza Letnisko - Wahalowski Wierch,Intermediate,0.0,2.55,5.55,675
Pętla Wilcza Wola - Zbiornik Łęg (Zbiornik Maziarnia),Intermediate,5.0,2.22,5.42,100
Pętla Podbiel - Bagno Całowanie: Mazowiecki Park Krajobrazowy,Easy,0.0,1.47,3.62,25
Pętla Mińsk Mazowiecki - Najstarsza sosna w Polsce,Easy,0.0,1.85,4.5,75
Pętla Nasutów - Nowy Staw: Kozłowiecki Park Krajobrazowy,Intermediate,5.0,2.9,6.95,250
Wisłok Górny - Kanasiówka (przez szlak żółty): Jaśliski Park Krajobrazowy,Intermediate,5.0,3.53,7.5,1125
Trasa Fitness Rymanów-Zdrój (pętla),Easy,0.0,1.48,3.11,475
Pętla Robotycze - Kopystanka - Posada Robotycka: Park Krajobrazowy Pogórza Przemyskiego,Intermediate,0.0,3.65,8.18,775
"Ścieżka przyrodniczo-dydaktyczna ""Kobyle Jezioro"" (pętla ze Złomów Ruskich): Południoworoztoczański Park Krajobrazowy",Easy,4.3,0.55,1.32,50
Pętla Dąbrowa Leśna - schronisko nietoperzy - Opaleń: Kampinoski Park Narodowy,Intermediate,0.0,2.15,5.21,125
Pętla Sieraków: Kampinoski Park Narodowy,Intermediate,0.0,2.43,5.9,125
Pętla Leszo - Kanał Zaborowski - Roztoka: Kampinoski Park Narodowy,Intermediate,0.0,4.78,11.5,300
Ścieżka przyrodniczo-dydaktyczna Brzozów-Zdrój (pętla),Easy,5.0,1.17,2.47,375
Pętla Budy Głogowskie - Rezerwat przyrody Zabłocie,Easy,5.0,1.9,4.52,175
Pętla Sanok - Orli Kamień (przez szlak Ikon - Dolina Sanu): Park Krajobrazowy Gór Słonnych,Intermediate,0.0,3.4,7.3,950
‪Pętla Anielin - Łysa Góra - Bunkry: Mazowiecki Park Krajobrazowy,Intermediate,0.0,3.08,7.52,100
Rezerwat Wodny Dół (pętla z Jaślikowa),Easy,0.0,1.22,2.74,275
"Ścieżka przyrodniczo-historyczna ""Dziki Hon"" (pętla z Cisnej): Ciśniańsko-Wetliński Park Krajobrazowy",Easy,0.0,1.15,2.19,500
Pętla Folusz - Wodospad Magurski - Magura: Magurski Park Narodowy,Intermediate,0.0,4.67,9.42,1750
"Ścieżka przyrodnicza ""Przy Zamku Kamieniec"" (pętla)",Easy,5.0,0.93,2.0,275
Ścieżka edukacyjna przez rezerwat Obory (pętla ze Słomczyna): Chojnowski Park Krajobrazowy,Easy,0.0,1.55,3.8,50
Ścieżka Terka-Studenne (duża pętla): Ciśniańsko-Wetliński Park Krajobrazowy,Intermediate,5.0,3.18,6.71,1050
"Ścieżka dydaktyczna ""Przez Wilczą Górę"" (pętla z Wilczych Tułowskich): Kampinoski Park Narodowy",Easy,0.0,0.92,2.17,75
"Ścieżka przyrodnicza ""Kiczera"" im. prof. Rafińskiego (pętla): Magurski Park Narodowy",Easy,0.0,0.95,2.08,250
Pętla Górki Szymona - Zimne Doły - Rezerwat Uroczysko Stephana: Chojnowski Park Krajobrazowy,Intermediate,0.0,2.78,6.72,175
Pętla Kazimierz Dolny - wąwozy Plebanka i Małachowskiego: Kazimierski Park Krajobrazowy,Easy,0.0,1.05,2.33,225
Ścieżka przyrodniczo-historyczna po Komańczy (pętla),Intermediate,0.0,2.55,5.52,675
Wola Wyżna - Kanasiówka (przez szlak niebieski): Jaśliski Park Krajobrazowy,Expert,0.0,5.47,12.3,1100
Pętla Marki - Puszcza Słupecka,Intermediate,0.0,2.67,6.52,100
Pętla Drohiczyn,Easy,0.0,0.75,1.74,100
Ścieżka do Pustelni Św. Magdaleny (z Kalwarii Pacławskiej): Park Krajobrazowy Pogórza Przemyskiego,Easy,0.0,0.83,1.66,325
Pętla Rezerwat Prządki - Czarnorzeki: Czarnorzecko-Strzyżowski Park Krajobrazowy,Easy,0.0,0.98,2.22,175
"Leśna ścieżka przyrodniczo-kulturowa ""Huta Garwolińska""",Easy,0.0,1.0,2.46,25
"Ścieżka dydaktyczna ""Dobre"" (pętla z Dobrego): Kazimierski Park Krajobrazowy",Easy,5.0,1.95,4.45,325
Pętla Przełęcz Wyżna - Dział - Górna Wetlinka: Bieszczadzki Park Narodowy,Intermediate,0.0,4.45,8.61,1900
Stasiana - Piotruś: Jaśliski Park Krajobrazowy,Intermediate,0.0,1.87,3.17,1050
Pętla Smerek - Fereczata - Okrąglik - Rabia Skała - Paportna: Ciśniańsko-Wetliński Park Krajobrazowy,Expert,0.0,8.08,16.1,3125
Pętla Ścieżka przyrodnicza na Chryszczatą - Przełęcz Żebrak: Ciśniańsko-Wetliński Park Krajobrazowy,Expert,5.0,5.55,11.6,1750
Przełęcz Przysłup - Słonny (S-E): Park Krajobrazowy Gór Słonnych,Intermediate,0.0,2.55,5.77,500
Pętla Ustrzyki Dolne - Gromadzyń (szlak żółty),Easy,5.0,1.85,3.71,650
Pętla Ożenna - Wysokie: Magurski Park Narodowy,Intermediate,0.0,4.23,9.15,1200
Pętla Kampinos - Granica: Kampinoski Park Narodowy,Intermediate,0.0,1.87,4.54,75
Pętla Międzylesie - Czarny Staw: Mazowiecki Park Krajobrazowy,Intermediate,0.0,1.32,3.22,50
Pętla Jezioro Wytyckie: Poleski Park Krajobrazowy,Intermediate,0.0,2.47,6.09,50
Pętla Rezerwat Las Królewski - Żukowski Las: Kszczonowski Park Krajobrazowy,Intermediate,5.0,2.88,6.84,275
Ścieżka przyrodnicza „Imielty Ług” (pętla po Rezerwacie Imielty Ług): Park Krajobrazowy Lasy Janowskie,Intermediate,0.0,3.23,7.86,175
"Ścieżka przyrodniczo-kulturowa ""Do Ralla"" (pętla z Krasiczyna): Park Krajobrazowy Pogórza Przemyskiego",Intermediate,5.0,1.9,4.1,525
"Ścieżka przyrodnicza do ""Wodospadu Trzy Wody"" w Komborni (pętla): Czarnorzecko-Strzyżowski Park Krajobrazowy",Easy,0.0,0.57,1.27,100
"Ścieżka dydaktyczna ""Wokół Palmir"" (pętla): Kampinoski Park Narodowy",Intermediate,0.0,0.55,1.33,25
Pętla Podkowa Leśna - Las Młochowski,Intermediate,0.0,2.12,5.13,100
Ścieżka cerkwisko Bukowiec: Bieszczadzki Park Narodowy,Easy,0.0,0.53,1.24,75
Bereżki - Przysłup Caryński - Magura Stuposiańska: Park Krajobrazowy Doliny Sanu,Intermediate,0.0,2.87,5.32,1350
Pętla Szewnia Dolna - Wojda: Roztoczański Park Narodowy,Intermediate,0.0,2.12,4.82,375
Pętla Zalew Biszcza-Żary,Easy,0.0,1.08,2.68,25
"Ścieżka przyrodnicza ""Czarny Las"" (pętla z Milanowa)",Intermediate,0.0,1.28,3.13,75
"Ścieżka przyrodnicza ""Dolina Hołubli"": Park Krajobrazowy Pogórza Przemyskiego",Easy,0.0,1.12,2.53,200
Pętla Żłobek - Jaworniki: Góry Sanocko-Turczańskie,Intermediate,0.0,2.25,4.43,950
Pętla Wiśniowa - Rezerwat Herby (przez szlak niebieski): Czarnorzecko-Strzyżowski Park Krajobrazowy,Intermediate,0.0,2.63,5.61,750
Pętla Kozłów - Wielka Góra: Kozienicki Park Krajobrazowy,Intermediate,0.0,2.73,6.63,125
Stawy Echo - Hodowla Konika Polskiego przez Szlak Krawędziowy: Roztoczański Park Narodowy,Intermediate,0.0,3.5,8.25,375
Ścieżka spacerowa Okolice Kluczkowic (pętla z Kluczkowic-Osiedle): Wrzelowiecki Park Krajobrazowy,Intermediate,0.0,2.25,5.18,350
"Habkowce - Łopiennik (ścieżką przyrodniczą ""Stary Majdan""): Ciśniańsko-Wetliński Park Krajobrazowy",Intermediate,5.0,3.2,5.9,1500
Pętla Ustrzyki Dolne - Holica - Mały Król,Expert,5.0,5.62,11.4,2025
"Ścieżka dydaktyczna ""Do Lipkowskiej Wody"" (pętla z Lipkowa): Kampinoski Park Narodowy",Easy,0.0,0.45,1.07,25
Pętla Stara Dąbrowa - Rezerwat Biela - Rezerwat Rybitew: Kampinoski Park Narodowy,Intermediate,0.0,2.45,6.0,75
Pętla Piaski Królewskie - Rezerwat Czapliniec - Rezerwat Czerwińskie Góry: Kampinoski Park Narodowy,Intermediate,0.0,3.53,8.65,125
Pętla Stara Dąbrowa - Rezerwat Żurawiowe - Cisowe: Kampinoski Park Narodowy,Expert,0.0,5.32,12.9,275
"Trasa turystyczna ""Trzy ścieżki tożsamości - środowisko, historia, kultura"" (pętla z Wybrzeża): Park Krajobrazowy Pogórza Przemyskiego",Intermediate,0.0,4.92,10.7,1250
"Pętla Wola Niżna - Góra Polańska (przez szlak Beskidzka Trasa Kurierska ""Jaga–Kora"")",Intermediate,0.0,4.2,8.75,1350
Szczawne - Warchołowski Wierch - Rzepedka,Intermediate,0.0,2.8,5.91,925
"Pętla Świątkowa Wielka - Ścieżka przyrodniczo – kulturowa ""Świerzowa Ruska"" - Świerzowa: Magurski Park Narodowy",Expert,0.0,5.23,11.1,1575
"Szlak ""Nad Pacynką"" (pętla)",Intermediate,0.0,1.07,2.53,100
Pętla Jezioro Łukie - Zawadówka: Poleski Park Narodowy,Easy,5.0,1.73,4.25,50
Pętla Kamieniołom w Nowinach - Czartowe Pole: Park Krajobrazowy Puszczy Solskiej,Easy,0.0,1.8,4.26,175
Pętla Żubracze - Solinka - Hyrlata - Berdo: Ciśniańsko-Wetliński Park Krajobrazowy,Expert,0.0,6.17,12.3,2300
Pętla Czarnorzeki - Sucha Góra: Czarnorzecko-Strzyżowski Park Krajobrazowy,Easy,0.0,1.58,3.32,500
Pętla Pomiechówek - Dolina Wkry - Rezerwat Pomiechówek,Intermediate,0.0,2.62,6.34,150
Ścieżka edukacyjna na Porytowym Wzgórzu (pętla): Park Krajobrazowy Lasy Janowskie,Easy,0.0,0.47,1.15,25
Lutowiska - Trohaniec (przez szlak zielony): Park Krajobrazowy Doliny Sanu,Easy,0.0,1.85,3.52,800
Pętla Wola Wyżna - Źródliska Jasiołki: Jaśliski Park Krajobrazowy,Intermediate,0.0,3.23,7.5,475
Pętla Stępina - Bardo - Kamienna Góra: Czarnorzecko-Strzyżowski Park Krajobrazowy,Intermediate,0.0,3.53,7.49,1100
"Ścieżka edukacyjna ""Bratkowice"" (pętla)",Easy,0.0,1.03,2.51,50
